Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2020-11-06,5742368.0,232906.0,0.0,24.66,0.0,4488192.0,78.16,0.0,781.0,198.0,100.0,62.0,421.0,74.28,0.0,40.85,0.0
2020-11-13,5742368.0,231226.0,-1680.0,24.83,0.16999999999999815,4486626.0,78.13,-0.030000000000001137,788.0,202.0,101.0,64.0,421.0,74.19,-0.09000000000000341,42.25,0.03427172582619335
2020-11-20,5742368.0,230322.0,-904.0,24.93,0.10000000000000142,4485185.0,78.11,-0.01999999999999602,791.0,202.0,103.0,63.0,423.0,74.15,-0.03999999999999204,42.7,0.010650887573964565
2020-11-27,5760935.0,230045.0,-277.0,25.04,0.10999999999999943,4503228.0,78.17,0.060000000000002274,778.0,195.0,104.0,63.0,416.0,74.25,0.09999999999999432,43.3,0.014051522248243426
2020-12-04,5798650.0,229692.0,-353.0,25.25,0.21000000000000085,4547631.0,78.43,0.2600000000000051,778.0,196.0,106.0,65.0,411.0,74.47,0.21999999999999886,43.65,0.008083140877598186
2020-12-11,5799617.0,230016.0,324.0,25.21,-0.03999999999999915,4543131.0,78.34,-0.09000000000000341,769.0,190.0,109.0,58.0,412.0,74.51,0.04000000000000625,42.9,-0.01718213058419244
2020-12-18,5809288.0,231168.0,1152.0,25.13,-0.08000000000000185,4546430.0,78.26,-0.0799999999999983,770.0,192.0,110.0,61.0,407.0,74.37,-0.14000000000000057,42.95,0.0011655011655012648
2020-12-25,5810255.0,233547.0,2379.0,24.88,-0.25,4533130.0,78.02,-0.2400000000000091,762.0,192.0,103.0,60.0,407.0,74.22,-0.15000000000000568,42.8,-0.003492433061699783
2020-12-31,5810255.0,233680.0,133.0,24.86,-0.019999999999999574,4529141.0,77.95,-0.06999999999999318,766.0,196.0,104.0,60.0,406.0,74.1,-0.12000000000000455,43.2,0.009345794392523497
2021-01-08,5810255.0,234912.0,1232.0,24.73,-0.129999999999999,4519055.0,77.78,-0.1700000000000017,759.0,196.0,101.0,56.0,406.0,74.05,-0.04999999999999716,42.95,-0.005787037037037037
2021-01-15,5810255.0,237238.0,2326.0,24.49,-0.240000000000002,4502338.0,77.49,-0.29000000000000625,757.0,192.0,101.0,60.0,404.0,73.73,-0.3199999999999932,41.95,-0.02328288707799767
2021-01-22,5814510.0,244395.0,7157.0,23.79,-0.6999999999999993,4453552.0,76.59,-0.8999999999999915,755.0,198.0,100.0,57.0,400.0,72.83,-0.9000000000000057,40.6,-0.032181168057210996
2021-01-29,5868375.0,253333.0,8938.0,23.16,-0.629999999999999,4444604.0,75.74,-0.8500000000000085,762.0,197.0,102.0,68.0,395.0,71.83,-1.0,40.15,-0.011083743842364602
2021-02-05,5873113.0,259020.0,5687.0,22.67,-0.48999999999999844,4410568.0,75.1,-0.6400000000000006,763.0,200.0,104.0,65.0,394.0,71.19,-0.6400000000000006,40.85,0.01743462017434627
2021-02-09,5873113.0,259894.0,874.0,22.6,-0.07000000000000028,4408077.0,75.06,-0.03999999999999204,765.0,202.0,107.0,66.0,390.0,71.08,-0.10999999999999943,40.85,0.0
2021-02-19,5873113.0,260873.0,979.0,22.51,-0.08999999999999986,4403164.0,74.97,-0.09000000000000341,767.0,204.0,107.0,63.0,393.0,71.02,-0.060000000000002274,41.6,0.01835985312117503
2021-02-26,5885685.0,260816.0,-57.0,22.57,0.05999999999999872,4422778.0,75.14,0.1700000000000017,774.0,201.0,111.0,68.0,394.0,71.11,0.09000000000000341,42.0,0.009615384615384581
