資料日期,集保總張數,總股東人數,平均張數/人,>400張大股東持有張數,>400張大股東持有百分比,>400張大股東人數,400~600張人數,600~800張人數,800~1000張人數,>1000張人數,>1000張大股東持有百分比,收盤價
20240223,"188,452","14,191",13.28,"118,566",62.92,60,9,12,5,34,53.50,52.20
20240216,"188,452","14,426",13.06,"117,215",62.20,59,8,13,6,32,52.38,51.60
20240205,"188,452","14,419",13.07,"117,610",62.41,60,9,14,5,32,52.39,50.10
20240202,"188,452","14,468",13.03,"116,326",61.73,58,8,14,4,32,52.45,49.60
20240126,"188,452","14,479",13.02,"116,885",62.02,60,9,15,5,31,51.58,48.80
20240119,"188,452","14,562",12.94,"117,076",62.12,60,9,15,4,32,52.11,49.00
20240112,"188,452","14,646",12.87,"116,370",61.75,58,8,15,2,33,53.02,48.90
20240105,"188,452","14,676",12.84,"116,136",61.63,58,9,14,2,33,53.18,47.50
20231229,"188,452","14,517",12.98,"116,826",61.99,59,11,13,2,33,53.24,47.85
20231222,"188,452","14,411",13.08,"118,017",62.62,59,10,12,3,34,54.10,48.40
20231215,"188,452","14,458",13.03,"118,266",62.76,59,11,12,2,34,54.49,49.00
20231208,"188,452","14,383",13.10,"118,337",62.79,58,10,12,2,34,54.79,47.90
20231201,"188,452","14,397",13.09,"118,364",62.81,56,9,11,2,34,55.35,50.00
20231124,"188,452","14,389",13.10,"118,346",62.80,55,8,11,2,34,55.63,48.25
20231117,"188,452","14,411",13.08,"118,193",62.72,53,6,11,2,34,56.13,48.45
20231110,"188,452","14,529",12.97,"118,472",62.87,52,5,10,4,33,55.90,48.15
20231103,"188,452","14,827",12.71,"118,325",62.79,52,5,11,4,32,55.46,44.40
20231027,"188,452","14,766",12.76,"118,622",62.95,52,6,10,4,32,55.67,43.45
20231020,"188,452","14,717",12.81,"119,013",63.15,52,6,10,4,32,55.92,43.15
20231013,"188,452","14,605",12.90,"119,704",63.52,52,6,10,5,31,55.77,43.90
20231006,"188,452","14,566",12.94,"120,260",63.81,52,6,10,5,31,56.08,42.45
20230928,"188,452","14,561",12.94,"120,668",64.03,52,6,10,4,32,56.84,42.75
20230922,"188,452","14,563",12.94,"120,784",64.09,52,6,10,4,32,56.96,42.75
20230915,"188,452","14,551",12.95,"120,983",64.20,52,6,12,2,32,57.12,42.90
20230908,"188,452","14,529",12.97,"121,161",64.29,52,7,11,2,32,57.25,42.65
20230901,"188,452","14,507",12.99,"121,306",64.37,52,7,11,2,32,57.32,42.70
20230825,"188,452","14,488",13.01,"121,445",64.44,52,7,11,2,32,57.40,42.20
20230818,"188,452","14,496",13.00,"121,589",64.52,52,7,11,2,32,57.48,42.00
20230811,"188,452","14,460",13.03,"121,897",64.68,52,7,11,2,32,57.66,42.70
20230804,"188,452","14,418",13.07,"122,097",64.79,52,7,11,2,32,57.77,42.75
20230728,"188,452","14,403",13.08,"122,097",64.79,52,7,11,2,32,57.77,42.80
20230721,"188,452","14,432",13.06,"122,097",64.79,52,7,11,2,32,57.77,42.85
20230714,"188,452","14,441",13.05,"122,071",64.78,51,7,11,2,31,57.76,43.00
20230707,"188,452","14,481",13.01,"122,071",64.78,51,7,11,2,31,57.76,42.75
20230630,"188,452","14,493",13.00,"122,059",64.77,51,7,11,2,31,57.75,42.75
20230621,"188,452","14,478",13.02,"122,051",64.77,51,7,11,2,31,57.75,42.55
20230616,"188,452","14,404",13.08,"122,051",64.77,51,7,11,2,31,57.75,42.30
20230609,"188,452","14,217",13.26,"121,386",64.41,50,7,10,2,31,57.72,44.85
20230602,"188,452","14,138",13.33,"121,827",64.65,51,8,11,1,31,57.72,44.45
20230526,"188,452","14,074",13.39,"121,846",64.66,51,7,12,1,31,57.72,43.70
20230519,"188,452","14,045",13.42,"121,846",64.66,51,7,12,1,31,57.72,43.95
20230512,"188,452","14,097",13.37,"121,827",64.65,51,7,12,1,31,57.71,43.70
20230505,"188,452","14,112",13.35,"121,827",64.65,51,7,12,1,31,57.71,43.85
20230428,"188,452","14,117",13.35,"121,838",64.65,51,7,12,1,31,57.72,43.40
20230421,"188,452","14,082",13.38,"121,881",64.67,51,7,12,1,31,57.74,43.15
20230414,"188,452","14,067",13.40,"121,946",64.71,51,7,12,1,31,57.78,43.80
20230407,"188,452","14,052",13.41,"121,986",64.73,51,7,12,1,31,57.80,43.90
20230331,"188,452","14,052",13.41,"122,038",64.76,51,7,12,1,31,57.83,43.95
20230324,"188,452","14,059",13.40,"122,038",64.76,51,7,12,1,31,57.83,43.90
20230317,"188,452","14,054",13.41,"122,038",64.76,51,7,12,1,31,57.83,43.35
20230310,"188,452","14,038",13.42,"122,031",64.75,51,7,12,1,31,57.82,43.85
20230303,"188,452","14,095",13.37,"121,918",64.69,51,8,11,1,31,57.81,43.35
20230224,"188,452","14,098",13.37,"121,918",64.69,51,8,11,1,31,57.81,42.95
20230217,"188,452","14,078",13.39,"121,860",64.66,51,8,11,1,31,57.81,42.40
20230210,"188,452","14,058",13.41,"121,829",64.65,51,8,11,1,31,57.79,42.20
20230203,"188,452","14,043",13.42,"121,829",64.65,51,8,11,1,31,57.79,42.25
20230117,"188,452","14,030",13.43,"121,803",64.63,51,8,11,1,31,57.78,42.00
20230113,"188,452","14,034",13.43,"121,775",64.62,51,8,11,1,31,57.76,41.75
20230106,"188,452","13,993",13.47,"121,730",64.59,51,8,11,1,31,57.74,41.95
20221230,"188,452","13,947",13.51,"121,710",64.58,51,8,11,1,31,57.73,41.00
20221223,"188,452","13,939",13.52,"122,055",64.77,52,9,11,2,30,57.17,41.30
20221216,"188,452","13,922",13.54,"121,945",64.71,52,10,10,2,30,57.17,41.50
20221209,"188,452","13,909",13.55,"121,835",64.65,52,10,10,2,30,57.15,41.75
20221202,"188,452","13,885",13.57,"121,671",64.56,52,10,11,1,30,57.15,41.75
20221125,"188,452","13,861",13.60,"121,617",64.53,52,10,11,1,30,57.15,41.60
20221118,"188,452","13,846",13.61,"121,561",64.50,52,10,11,1,30,57.12,41.20
20221111,"188,452","13,860",13.60,"121,093",64.26,51,9,11,1,30,57.11,41.45
20221104,"188,452","13,811",13.65,"121,044",64.23,51,9,11,1,30,57.08,40.35
20221028,"188,452","13,797",13.66,"121,593",64.52,52,10,11,1,30,57.06,40.10
20221021,"188,452","13,803",13.65,"122,589",65.05,54,12,10,2,30,57.03,39.70
20221014,"188,452","13,673",13.78,"123,139",65.34,53,11,10,1,31,57.97,40.45
20221007,"188,452","13,652",13.80,"123,038",65.29,53,11,10,1,31,57.94,41.15
20220930,"188,452","13,657",13.80,"122,978",65.26,53,11,10,1,31,57.92,41.45
20220923,"188,452","13,685",13.77,"122,824",65.18,53,11,10,1,31,57.88,42.50
20220916,"188,452","13,747",13.71,"123,259",65.41,54,12,10,1,31,57.84,43.00
20220908,"188,452","13,914",13.54,"122,635",65.08,52,9,10,2,31,57.81,44.00
20220902,"188,452","13,992",13.47,"122,586",65.05,52,9,10,2,31,57.78,42.40
20220826,"188,452","14,022",13.44,"122,528",65.02,52,9,10,2,31,57.75,42.20
20220819,"188,452","14,056",13.41,"122,956",65.25,53,10,10,2,31,57.76,41.80
20220812,"188,452","14,075",13.39,"122,958",65.25,53,10,10,2,31,57.73,41.65
20220805,"188,452","14,105",13.36,"122,975",65.26,53,10,10,2,31,57.71,40.40
20220729,"188,452","14,153",13.32,"122,763",65.14,53,10,10,3,30,57.06,40.20
20220722,"188,452","14,173",13.30,"122,737",65.13,53,10,10,3,30,57.04,39.20
20220715,"188,452","14,192",13.28,"122,758",65.14,53,10,10,3,30,57.02,38.70
20220708,"188,452","14,199",13.27,"122,845",65.19,53,10,10,3,30,57.02,38.45
20220701,"188,452","14,206",13.27,"122,908",65.22,53,9,11,3,30,57.01,38.35
20220624,"188,452","14,192",13.28,"122,937",65.24,53,9,11,3,30,57.01,38.95
20220617,"188,452","14,139",13.33,"122,931",65.23,53,9,11,3,30,57.01,39.45
20220610,"188,452","14,066",13.40,"123,021",65.28,53,9,11,3,30,57.01,42.20
20220602,"188,452","14,052",13.41,"123,021",65.28,53,9,11,3,30,57.01,41.65
20220527,"188,452","14,064",13.40,"123,021",65.28,53,9,11,3,30,57.01,41.20
20220520,"188,452","14,076",13.39,"122,998",65.27,53,9,11,3,30,57.00,41.00
20220513,"188,452","14,100",13.37,"122,988",65.26,53,9,11,3,30,57.00,41.20
20220506,"188,452","14,093",13.37,"122,990",65.26,53,9,11,3,30,57.00,41.60
20220429,"188,452","14,111",13.35,"122,995",65.27,53,9,11,3,30,57.00,41.60
20220422,"188,452","14,127",13.34,"122,983",65.26,53,9,11,3,30,56.99,42.70
20220415,"188,452","14,113",13.35,"122,950",65.24,53,9,11,3,30,56.98,41.65
20220408,"188,452","14,042",13.42,"122,950",65.24,53,9,11,3,30,56.98,43.20
20220401,"188,452","14,061",13.40,"122,924",65.23,53,9,11,3,30,56.96,43.80
