年月日,open,high,low,close,adj close,volume,MA3,MA5,MA5volume,MA20,MA10,volume_chage,adj close-MA5 distance,adj close-MA10 distance,adj close-MA20 distance,adj close-MA3 distance,MA20-MA10 distance,MA20-MA5 distance,MA10-MA5 distance,MA10-MA3 distance,MA20-MA3 distance,MA5-MA3 distance,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2020-11-13,459.0,462.0,456.5,462.0,432.9507141113281,31037438.0,430.13934326171875,428.54625244140624,36394051.8,421.4709945678711,423.25152587890625,-0.14718377138760894,4.404461669921886,9.699188232421875,11.479719543457009,2.811370849609375,-1.7805313110351335,-7.075257873535122,-5.294726562499989,-6.8878173828125,-8.668348693847634,-1.5930908203125114,25930380.0,541219.0,0.0,47.91,0.0,23927829.0,92.28,0.0,2426.0,458.0,279.0,197.0,1492.0,89.99,0.0,462.0,0.0
2020-11-16,470.0,484.5,469.0,484.0,453.5674133300781,81994937.0,438.5734558105469,433.32557373046876,44943863.0,422.7126800537109,427.79656982421875,0.8243856118909939,20.241839599609364,25.770843505859375,30.8547332763672,14.99395751953125,-5.083889770507824,-10.612893676757835,-5.529003906250011,-10.776885986328125,-15.860775756835949,-5.247882080078114,25930380.0,541219.0,0.0,47.91,0.0,23927829.0,92.28,0.0,2426.0,458.0,279.0,197.0,1492.0,89.99,0.0,462.0,0.0
2020-11-17,502.0,506.0,485.5,485.5,454.9731140136719,72413868.0,447.1637471516927,439.7917114257813,52462536.8,424.32921447753904,431.9667602539063,0.3802967301421079,15.181402587890602,23.006353759765602,30.643899536132835,7.809366861979186,-7.637545776367233,-15.462496948242233,-7.824951171875,-15.196986897786417,-22.83453267415365,-7.372035725911417,25930380.0,541219.0,0.0,47.91,0.0,23927829.0,92.28,0.0,2426.0,458.0,279.0,197.0,1492.0,89.99,0.0,462.0,0.0
2020-11-18,490.0,497.0,486.5,497.0,465.7500915527344,50387727.0,458.0968729654948,447.28871459960936,55186970.0,426.390885925293,436.371240234375,-0.08696333572943034,18.46137695312501,29.378851318359352,39.35920562744138,7.653218587239564,-9.980354309082031,-20.897828674316372,-10.917474365234341,-21.725632731119788,-31.70598704020182,-10.808158365885447,25930380.0,541219.0,0.0,47.91,0.0,23927829.0,92.28,0.0,2426.0,458.0,279.0,197.0,1492.0,89.99,0.0,462.0,0.0
2020-11-19,499.0,499.0,490.0,490.0,459.190185546875,44220053.0,459.97113037109375,453.2863037109375,56010804.6,428.03085174560545,440.02601623535156,-0.2105085203507325,5.903881835937511,19.164169311523438,31.159333801269554,-0.78094482421875,-11.995164489746116,-25.255451965332043,-13.260287475585926,-19.945114135742188,-31.940278625488304,-6.684826660156261,25930380.0,541219.0,0.0,47.91,0.0,23927829.0,92.28,0.0,2426.0,458.0,279.0,197.0,1492.0,89.99,0.0,462.0,0.0
2020-11-20,486.0,490.0,486.0,488.0,457.31591796875,32281453.0,460.75206502278644,458.1593444824219,56259607.6,429.71767272949216,443.35279846191406,-0.42620550734164736,-0.8434265136718864,13.963119506835938,27.598245239257835,-3.4361470540364394,-13.635125732421898,-28.44167175292972,-14.806546020507824,-17.399266560872377,-31.034392293294275,-2.592720540364553,25930380.0,546511.0,5292.0,47.45,-0.45999999999999375,23949626.0,92.36,0.0799999999999983,2438.0,461.0,282.0,199.0,1496.0,90.05,0.060000000000002274,488.0,0.05627705627705628
2020-11-23,494.5,498.5,492.0,496.5,465.281494140625,38084006.0,460.5958658854167,460.5021606445313,47477421.4,431.89648284912107,446.9138671875,-0.19785015957079755,4.779333496093727,18.36762695312501,33.38501129150393,4.685628255208314,-15.017384338378918,-28.6056777954102,-13.588293457031284,-13.681998697916697,-28.699383036295615,-0.09370524088541288,25930380.0,546511.0,5292.0,47.45,-0.45999999999999375,23949626.0,92.36,0.0799999999999983,2438.0,461.0,282.0,199.0,1496.0,90.05,0.060000000000002274,488.0,0.05627705627705628
2020-11-24,499.5,500.0,491.5,492.0,461.0644226074219,35479226.0,461.2206115722656,461.7204223632813,40090493.0,434.0050079345703,450.7560668945313,-0.11502145907759229,-0.6559997558593977,10.308355712890602,27.059414672851574,-0.15618896484375,-16.75105895996097,-27.71541442871097,-10.96435546875,-10.464544677734352,-27.215603637695324,0.49981079101564774,25930380.0,546511.0,5292.0,47.45,-0.45999999999999375,23949626.0,92.36,0.0799999999999983,2438.0,461.0,282.0,199.0,1496.0,90.05,0.060000000000002274,488.0,0.05627705627705628
2020-11-25,495.0,495.5,487.0,487.0,456.3788146972656,41419632.0,460.9082438151042,459.8461669921875,38296874.0,436.0198226928711,453.56744079589845,0.08154080669873995,-3.4673522949218523,2.811373901367176,20.35899200439451,-4.529429117838561,-17.547618103027332,-23.82634429931636,-6.278726196289028,-7.340803019205737,-24.88842112223307,-1.0620768229167084,25930380.0,546511.0,5292.0,47.45,-0.45999999999999375,23949626.0,92.36,0.0799999999999983,2438.0,461.0,282.0,199.0,1496.0,90.05,0.060000000000002274,488.0,0.05627705627705628
2020-11-26,489.0,493.5,488.0,489.0,458.2530212402344,28893033.0,458.56541951497394,459.6587341308594,35231470.0,438.4563385009766,456.47251892089844,-0.17990838872178766,-1.4057128906250114,1.7805023193359375,19.79668273925779,-0.3123982747395644,-18.016180419921852,-21.2023956298828,-3.186215209960949,-2.092900594075502,-20.109081013997354,1.093314615885447,25930380.0,546511.0,5292.0,47.45,-0.45999999999999375,23949626.0,92.36,0.0799999999999983,2438.0,461.0,282.0,199.0,1496.0,90.05,0.060000000000002274,488.0,0.05627705627705628
2020-11-27,487.5,492.0,486.5,489.0,458.2530212402344,32960189.0,457.62828572591144,459.8461547851563,35367217.2,441.1271377563477,459.00274963378905,-0.06805817337531443,-1.5931335449218977,-0.7497283935546761,17.125883483886696,0.6247355143229356,-17.875611877441372,-18.719017028808594,-0.8434051513672216,1.3744639078776117,-16.50114796956376,2.2178690592448334,25930380.0,567805.0,21294.0,45.67,-1.7800000000000011,23920614.0,92.25,-0.10999999999999943,2449.0,460.0,287.0,195.0,1507.0,89.95,-0.09999999999999432,489.0,0.0020491803278688526
2020-11-30,493.0,493.5,480.5,480.5,450.2875061035156,119895176.0,455.5978495279948,456.84735717773435,51729451.2,443.2356643676758,458.6747589111328,1.3177353174781021,-6.559851074218727,-8.387252807617188,7.051841735839844,-5.310343424479186,-15.439094543457031,-13.611692810058571,1.8274017333984602,3.076909383138002,-12.36218516031903,1.2495076497395416,25930380.0,567805.0,21294.0,45.67,-1.7800000000000011,23920614.0,92.25,-0.10999999999999943,2449.0,460.0,287.0,195.0,1507.0,89.95,-0.09999999999999432,489.0,0.0020491803278688526
2020-12-01,489.5,490.0,483.5,490.0,459.190185546875,37018651.0,455.9102376302083,456.472509765625,52037336.2,445.5316131591797,459.0964660644531,-0.28861364352466606,2.7176757812500227,0.093719482421875,13.658572387695301,3.2799479166666856,-13.564852905273426,-10.940896606445278,2.6239562988281477,3.1862284342448106,-10.378624471028616,0.5622721354166629,25930380.0,567805.0,21294.0,45.67,-1.7800000000000011,23920614.0,92.25,-0.10999999999999943,2449.0,460.0,287.0,195.0,1507.0,89.95,-0.09999999999999432,489.0,0.0020491803278688526
2020-12-02,499.5,500.0,493.5,499.0,467.6242370605469,50621339.0,459.0339762369792,458.7215942382812,53877677.6,447.8275604248047,459.28388061523435,-0.060439475958406964,8.902642822265648,8.340356445312523,19.796676635742188,8.59026082356769,-11.456320190429665,-10.89403381347654,0.562286376953125,0.24990437825516665,-11.206415812174498,-0.31238199869795835,25930380.0,567805.0,21294.0,45.67,-1.7800000000000011,23920614.0,92.25,-0.10999999999999943,2449.0,460.0,287.0,195.0,1507.0,89.95,-0.09999999999999432,489.0,0.0020491803278688526
2020-12-03,499.5,499.5,495.0,497.0,465.7500915527344,35651379.0,464.18817138671875,460.22100830078125,55229346.8,449.9829437255859,459.9398712158203,-0.3544848696273192,5.529083251953125,5.810220336914085,15.767147827148449,1.561920166015625,-9.956927490234364,-10.238064575195324,-0.28113708496096024,-4.24830017089846,-14.205227661132824,-3.9671630859375,25930380.0,567805.0,21294.0,45.67,-1.7800000000000011,23920614.0,92.25,-0.10999999999999943,2449.0,460.0,287.0,195.0,1507.0,89.95,-0.09999999999999432,489.0,0.0020491803278688526
2020-12-04,498.5,505.0,497.5,503.0,471.3727722167969,51172005.0,468.24903361002606,462.84495849609374,58871710.0,452.3491775512695,461.345556640625,-0.130787860587029,8.527813720703136,10.027215576171898,19.023594665527355,3.1237386067708144,-8.996379089355457,-10.495780944824219,-1.4994018554687614,-6.903476969401083,-15.89985605875654,-5.404075113932322,25930380.0,578777.0,10972.0,44.8,-0.8700000000000045,23902528.0,92.18,-0.06999999999999318,2464.0,462.0,295.0,187.0,1520.0,89.89,-0.060000000000002274,503.0,0.028629856850715747
2020-12-07,512.0,515.0,506.0,514.0,481.6811218261719,44271244.0,472.9346618652344,469.123681640625,43746923.6,454.94969329833987,462.9855194091797,0.011985309065252728,12.557440185546852,18.695602416992188,26.73142852783201,8.7464599609375,-8.035826110839821,-14.173988342285156,-6.138162231445335,-9.949142456054688,-17.98496856689451,-3.8109802246093523,25930380.0,578777.0,10972.0,44.8,-0.8700000000000045,23902528.0,92.18,-0.06999999999999318,2464.0,462.0,295.0,187.0,1520.0,89.89,-0.060000000000002274,503.0,0.028629856850715747
2020-12-08,514.0,525.0,509.0,524.0,491.0523681640625,40771761.0,481.36875406901044,475.4961181640625,44497545.6,458.3701904296875,465.98431396484375,-0.0837301147683975,15.556249999999977,25.06805419921875,32.68217773437499,9.683614095052064,-7.614123535156239,-17.12592773437501,-9.511804199218773,-15.384440104166686,-22.998563639322924,-5.872635904947913,25930380.0,578777.0,10972.0,44.8,-0.8700000000000045,23902528.0,92.18,-0.06999999999999318,2464.0,462.0,295.0,187.0,1520.0,89.89,-0.060000000000002274,503.0,0.028629856850715747
2020-12-09,521.0,524.0,520.0,520.0,487.30389404296875,43314115.0,486.6791280110677,479.4320495605469,43036100.8,461.32213134765624,469.0768218994141,0.006460022976802838,7.871844482421864,18.227072143554665,25.98176269531251,0.6247660319010606,-7.754690551757847,-18.109918212890648,-10.355227661132801,-17.602306111653604,-25.35699666341145,-7.247078450520803,25930380.0,578777.0,10972.0,44.8,-0.8700000000000045,23902528.0,92.18,-0.06999999999999318,2464.0,462.0,295.0,187.0,1520.0,89.89,-0.060000000000002274,503.0,0.028629856850715747
2020-12-10,511.0,515.0,510.0,512.0,479.8068542480469,42556926.0,486.0543721516927,482.2434020996094,44417210.2,463.85236206054685,471.2322052001953,-0.04188205858998328,-2.4365478515625227,8.574649047851551,15.954492187500023,-6.247517903645814,-7.379843139648472,-18.391040039062545,-11.011196899414074,-14.822166951497366,-22.202010091145837,-3.8109700520832916,25930380.0,578777.0,10972.0,44.8,-0.8700000000000045,23902528.0,92.18,-0.06999999999999318,2464.0,462.0,295.0,187.0,1520.0,89.89,-0.060000000000002274,503.0,0.028629856850715747
2020-12-11,517.0,517.0,505.0,516.0,483.555419921875,45660960.0,483.5553894042969,484.679931640625,43315001.2,466.3825973510742,473.7624450683594,0.054160423294643635,-1.12451171875,9.792974853515602,17.172822570800804,3.0517578125e-05,-7.379847717285202,-18.297334289550804,-10.917486572265602,-9.792944335937477,-17.17279205322268,1.124542236328125,25930380.0,586059.0,7282.0,44.25,-0.5499999999999972,23903657.0,92.18,0.0,2471.0,478.0,285.0,186.0,1522.0,89.89,0.0,516.0,0.02584493041749503
2020-12-14,512.0,513.0,508.0,508.0,476.0583801269531,30260485.0,479.806884765625,483.5553833007813,40512849.4,467.507145690918,476.33953247070315,-0.25306451044146994,-7.497003173828148,-0.28115234375002274,8.551234436035145,-3.748504638671875,-8.832386779785168,-16.048237609863293,-7.215850830078125,-3.4673522949218523,-12.29973907470702,3.7484985351562727,25930380.0,586059.0,7282.0,44.25,-0.5499999999999972,23903657.0,92.18,0.0,2471.0,478.0,285.0,186.0,1522.0,89.89,0.0,516.0,0.02584493041749503
2020-12-15,507.0,510.0,504.0,504.0,472.3099060058594,39852366.0,477.3079020182292,479.8068908691406,40328970.4,468.37398529052734,477.65150451660156,-0.011817916383007847,-7.496984863281227,-5.3415985107421875,3.9359207153320312,-4.997996012369811,-9.277519226074219,-11.432905578613259,-2.1553863525390398,0.3436024983723769,-8.933916727701842,2.4989888509114166,25930380.0,586059.0,7282.0,44.25,-0.5499999999999972,23903657.0,92.18,0.0,2471.0,478.0,285.0,186.0,1522.0,89.89,0.0,516.0,0.02584493041749503
2020-12-16,509.0,515.0,507.0,512.0,479.8068542480469,52012348.0,476.0583801269531,478.30748291015624,42068617.0,469.07682342529296,478.86976623535156,0.23636933441382207,1.4993713378906364,0.9370880126953125,10.730030822753918,3.74847412109375,-9.792942810058605,-9.230659484863281,0.5622833251953239,2.8113861083984375,-6.981556701660168,2.2491027832031136,25930380.0,586059.0,7282.0,44.25,-0.5499999999999972,23903657.0,92.18,0.0,2471.0,478.0,285.0,186.0,1522.0,89.89,0.0,516.0,0.02584493041749503
2020-12-17,515.0,515.0,508.0,508.0,478.394287109375,38215179.0,476.83701578776044,478.02496948242185,41200267.6,470.03702850341796,480.1341857910156,-0.07245313620244548,0.36931762695314774,-1.739898681640625,8.357258605957043,1.5572713216145644,-10.097157287597668,-7.987940979003895,2.1092163085937727,3.2971700032551894,-6.799987284342478,1.1879536946614166,25930380.0,586059.0,7282.0,44.25,-0.5499999999999972,23903657.0,92.18,0.0,2471.0,478.0,285.0,186.0,1522.0,89.89,0.0,516.0,0.02584493041749503
2020-12-18,508.0,512.0,507.0,510.0,480.27777099609375,39924864.0,479.4929707845052,477.36943969726565,40053048.4,471.1851211547852,481.0246856689453,-0.003200365643080453,2.9083312988281023,-0.7469146728515739,9.092649841308571,0.7848002115885606,-9.839564514160145,-6.184318542480469,3.655245971679676,1.5317148844401345,-8.30784962972001,-2.1235310872395416,25930380.0,607982.0,21923.0,42.65,-1.6000000000000014,23874128.0,92.07,-0.11000000000001364,2471.0,474.0,288.0,191.0,1518.0,89.76,-0.12999999999999545,510.0,-0.011627906976744186
2020-12-21,512.0,517.0,508.0,516.0,485.9281005859375,34813281.0,481.53338623046875,479.3433837890625,40963607.6,472.21745147705076,481.4493835449219,-0.15014123414266867,6.584716796875,4.478717041015614,13.710649108886741,4.39471435546875,-9.231932067871128,-7.1259323120117415,2.1059997558593864,-0.08400268554686363,-9.315934753417991,-2.19000244140625,25930380.0,607982.0,21923.0,42.65,-1.6000000000000014,23874128.0,92.07,-0.11000000000001364,2471.0,474.0,288.0,191.0,1518.0,89.76,-0.12999999999999545,510.0,-0.011627906976744186
2020-12-22,512.0,516.0,509.0,509.0,479.33599853515625,22454277.0,481.8472900390625,480.74860229492185,37483989.8,473.1310302734375,480.2777465820312,-0.400963528167431,-1.4126037597656023,-0.9417480468749773,6.204968261718761,-2.51129150390625,-7.146716308593739,-7.617572021484364,-0.470855712890625,-1.5695434570312727,-8.716259765625011,-1.0986877441406477,25930380.0,607982.0,21923.0,42.65,-1.6000000000000014,23874128.0,92.07,-0.11000000000001364,2471.0,474.0,288.0,191.0,1518.0,89.76,-0.12999999999999545,510.0,-0.011627906976744186
2020-12-23,508.0,511.0,506.0,509.0,479.33599853515625,18086715.0,481.5333658854167,480.65443115234376,30698863.2,474.27888946533204,479.48095703125,-0.41083437252490834,-1.3184326171875114,-0.14495849609375,5.057109069824207,-2.1973673502604356,-5.202067565917957,-6.375541687011719,-1.1734741210937614,-2.0524088541666856,-7.254476420084643,-0.8789347330729242,25930380.0,607982.0,21923.0,42.65,-1.6000000000000014,23874128.0,92.07,-0.11000000000001364,2471.0,474.0,288.0,191.0,1518.0,89.76,-0.12999999999999545,510.0,-0.011627906976744186
2020-12-24,511.0,512.0,508.0,510.0,480.27777099609375,14950143.0,479.64992268880206,481.0311279296875,26045856.0,475.380126953125,479.5280487060547,-0.4260068473080708,-0.75335693359375,0.7497222900390739,4.89764404296875,0.6278483072916856,-4.147921752929676,-5.6510009765625,-1.5030792236328239,-0.12187398274738825,-4.269795735677064,1.3812052408854356,25930380.0,607982.0,21923.0,42.65,-1.6000000000000014,23874128.0,92.07,-0.11000000000001364,2471.0,474.0,288.0,191.0,1518.0,89.76,-0.12999999999999545,510.0,-0.011627906976744186
