Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2020-11-27,165136.0,31413.0,0.0,5.26,0.0,75641.0,45.81,0.0,29.0,11.0,4.0,3.0,11.0,39.17,0.0,37.9,0.0
2020-12-04,165136.0,31283.0,-130.0,5.28,0.020000000000000462,76254.0,46.18,0.36999999999999744,30.0,11.0,4.0,5.0,10.0,38.53,-0.6400000000000006,34.5,-0.08970976253298149
2020-12-11,165136.0,31147.0,-136.0,5.3,0.019999999999999574,79123.0,47.91,1.7299999999999969,32.0,10.0,6.0,3.0,13.0,40.85,2.3200000000000003,39.6,0.14782608695652177
2020-12-18,165136.0,31305.0,158.0,5.28,-0.019999999999999574,78425.0,47.49,-0.4199999999999946,30.0,9.0,5.0,4.0,12.0,40.42,-0.4299999999999997,40.25,0.016414141414141378
2020-12-25,165136.0,31346.0,41.0,5.27,-0.010000000000000675,79325.0,48.04,0.5499999999999972,34.0,13.0,5.0,4.0,12.0,40.08,-0.3400000000000034,40.75,0.012422360248447204
2020-12-31,165136.0,30733.0,-613.0,5.37,0.10000000000000053,82282.0,49.83,1.7899999999999991,38.0,13.0,7.0,3.0,15.0,41.61,1.5300000000000011,41.85,0.02699386503067488
2021-01-08,165136.0,31163.0,430.0,5.3,-0.07000000000000028,82132.0,49.74,-0.0899999999999963,38.0,15.0,5.0,4.0,14.0,41.26,-0.3500000000000014,47.2,0.12783751493428916
2021-01-15,165136.0,31611.0,448.0,5.22,-0.08000000000000007,80291.0,48.62,-1.1200000000000045,36.0,11.0,6.0,7.0,12.0,39.36,-1.8999999999999986,47.1,-0.00211864406779664
2021-01-22,165136.0,33492.0,1881.0,4.93,-0.29000000000000004,78577.0,47.58,-1.0399999999999991,38.0,17.0,6.0,5.0,10.0,37.38,-1.9799999999999969,46.95,-0.003184713375796148
2021-01-29,165136.0,33386.0,-106.0,4.95,0.020000000000000462,79145.0,47.93,0.3500000000000014,39.0,19.0,5.0,4.0,11.0,38.09,0.7100000000000009,41.35,-0.1192758253461129
2021-02-05,165136.0,32822.0,-564.0,5.03,0.08000000000000007,79841.0,48.35,0.4200000000000017,40.0,19.0,7.0,3.0,11.0,38.22,0.12999999999999545,39.85,-0.03627569528415961
2021-02-09,165136.0,33049.0,227.0,5.0,-0.03000000000000025,78527.0,47.55,-0.8000000000000043,38.0,18.0,6.0,3.0,11.0,38.06,-0.1599999999999966,39.85,0.0
2021-02-19,165136.0,33198.0,149.0,4.97,-0.03000000000000025,79013.0,47.85,0.30000000000000426,41.0,21.0,5.0,4.0,11.0,37.36,-0.7000000000000028,43.15,0.08281053952321198
