資料日期,集保總張數,總股東人數,平均張數/人,>400張大股東持有張數,>400張大股東持有百分比,>400張大股東人數,400~600張人數,600~800張人數,800~1000張人數,>1000張人數,>1000張大股東持有百分比,收盤價
20240308,"165,136","43,514",3.80,"67,964",41.16,23,9,3,3,8,35.44,53.20
20240301,"165,136","43,639",3.78,"66,533",40.29,23,10,3,2,8,34.79,49.85
20240223,"165,136","44,123",3.74,"64,672",39.16,20,7,4,0,9,35.51,50.00
20240216,"165,136","42,074",3.92,"63,558",38.49,19,8,4,0,7,34.66,42.05
20240205,"165,136","42,886",3.85,"60,161",36.43,18,9,3,0,6,32.68,34.80
20240202,"165,136","42,916",3.85,"60,011",36.34,18,10,2,0,6,32.62,34.65
20240126,"165,136","42,739",3.86,"59,560",36.07,16,6,3,1,6,32.61,34.60
20240119,"165,136","43,045",3.84,"59,927",36.29,17,8,3,0,6,32.73,34.30
20240112,"165,136","42,661",3.87,"59,907",36.28,16,6,4,0,6,32.77,32.60
20240105,"165,136","42,876",3.85,"58,454",35.40,14,5,3,0,6,32.67,30.75
20231229,"165,136","42,862",3.85,"59,546",36.06,17,8,3,0,6,32.51,30.40
20231222,"165,136","42,879",3.85,"59,112",35.80,16,7,3,0,6,32.49,30.00
20231215,"165,136","42,940",3.85,"58,897",35.67,16,7,3,1,5,31.73,31.00
20231208,"165,136","43,040",3.84,"58,857",35.64,16,7,3,0,6,32.34,30.75
20231201,"165,136","43,141",3.83,"58,417",35.38,15,6,3,1,5,31.73,31.80
20231124,"165,136","43,131",3.83,"58,320",35.32,15,6,3,1,5,31.73,31.70
20231117,"165,136","42,669",3.87,"59,396",35.97,16,7,2,1,6,32.54,29.65
20231110,"165,136","42,680",3.87,"59,938",36.30,17,8,2,1,6,32.66,28.30
20231103,"165,136","42,688",3.87,"59,686",36.14,16,7,2,1,6,32.80,28.65
20231027,"165,136","42,706",3.87,"60,256",36.49,17,8,2,1,6,32.85,28.95
20231020,"165,136","42,763",3.86,"60,380",36.56,17,7,3,1,6,32.85,29.60
20231013,"165,136","42,792",3.86,"60,478",36.62,17,7,3,1,6,32.85,30.40
20231006,"165,136","42,847",3.85,"60,484",36.63,17,7,4,0,6,32.85,30.90
20230928,"165,136","42,884",3.85,"60,391",36.57,17,7,4,0,6,32.85,30.50
20230922,"165,136","42,924",3.85,"60,415",36.59,17,8,2,1,6,32.85,30.80
20230915,"165,136","42,909",3.85,"60,341",36.54,17,8,2,1,6,32.85,31.45
20230908,"165,136","42,900",3.85,"60,279",36.50,16,7,2,0,7,33.60,32.40
20230901,"165,136","42,879",3.85,"60,136",36.42,17,8,3,0,6,32.85,32.50
20230825,"165,136","42,694",3.87,"60,626",36.71,18,10,2,0,6,32.85,33.40
20230818,"165,136","42,739",3.86,"60,673",36.74,18,9,3,0,6,32.85,30.55
20230811,"165,136","42,865",3.85,"60,722",36.77,18,8,4,0,6,32.85,32.00
20230804,"165,136","42,913",3.85,"59,388",35.96,15,5,4,0,6,32.76,35.50
20230728,"165,136","41,953",3.94,"60,538",36.66,17,7,3,0,7,33.51,34.50
20230721,"165,136","42,119",3.92,"59,364",35.95,15,5,3,1,6,32.83,32.65
20230714,"165,136","42,167",3.92,"58,190",35.24,13,4,3,0,6,32.83,32.40
20230707,"165,136","41,897",3.94,"58,725",35.56,14,5,2,1,6,32.83,30.90
20230630,"165,136","42,147",3.92,"58,268",35.28,13,4,2,1,6,32.83,31.40
20230621,"165,136","42,383",3.90,"58,321",35.32,13,4,2,1,6,32.83,32.05
20230616,"165,136","42,393",3.90,"58,302",35.31,14,7,1,0,6,32.80,33.30
