年月日,open,high,low,close,adj close,volume,MA3,MA5,MA5volume,MA20,MA10,adj close-MA5 distance,adj close-MA10 distance,adj close-MA20 distance,adj close-MA3 distance,MA20-MA10 distance,MA20-MA5 distance,MA10-MA5 distance,MA10-MA3 distance,MA20-MA3 distance,MA5-MA3 distance,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2023-08-18,14.100000381469728,14.25,13.75,13.899999618530272,13.899999618530272,631794.0,13.933333079020182,13.95999984741211,659221.2,14.66055483818054,14.4,-0.0600002288818366,-0.5000003814697269,-0.7605552196502678,-0.0333334604899082,0.2605548381805409,0.7005549907684312,0.4400001525878902,0.4666669209798186,0.7272217591603596,0.0266667683919283,167042.0,18692.0,26.0,8.94,-0.0099999999999997,91743.0,54.92,-0.25,37.0,8.0,4.0,6.0,19.0,47.73,-0.0400000000000062,13.9,-0.0446735395189003
2023-08-21,13.899999618530272,14.050000190734863,13.850000381469728,13.949999809265137,13.949999809265137,213020.0,13.949999809265137,13.969999885559082,436964.6,14.627492094039916,14.28499994277954,-0.0200000762939449,-0.3350001335144039,-0.6774922847747806,0.0,0.3424921512603767,0.6574922084808357,0.315000057220459,0.3350001335144039,0.6774922847747806,0.0200000762939449,167042.0,18692.0,26.0,8.94,-0.0099999999999997,91743.0,54.92,-0.25,37.0,8.0,4.0,6.0,19.0,47.73,-0.0400000000000062,13.9,-0.0446735395189003
2023-08-22,14.100000381469728,14.100000381469728,13.75,13.75,13.75,279172.0,13.866666475931805,13.899999809265136,411763.0,14.591808795928957,14.154999923706054,-0.149999809265136,-0.404999923706054,-0.8418087959289551,-0.1166664759318028,0.4368088722229011,0.6918089866638191,0.2550001144409179,0.2883334477742512,0.7251423199971523,0.0333333333333332,167042.0,18692.0,26.0,8.94,-0.0099999999999997,91743.0,54.92,-0.25,37.0,8.0,4.0,6.0,19.0,47.73,-0.0400000000000062,13.9,-0.0446735395189003
2023-08-23,13.75,14.050000190734863,13.75,13.899999618530272,13.899999618530272,340000.0,13.866666475931805,13.899999809265136,367850.0,14.556246042251589,14.054999923706054,-1.907348625707073e-07,-0.1550003051757809,-0.6562464237213135,0.0333331425984706,0.5012461185455326,0.6562462329864509,0.1550001144409183,0.1883334477742515,0.6895795663197841,0.0333333333333332,167042.0,18692.0,26.0,8.94,-0.0099999999999997,91743.0,54.92,-0.25,37.0,8.0,4.0,6.0,19.0,47.73,-0.0400000000000062,13.9,-0.0446735395189003
2023-08-24,13.949999809265137,14.100000381469728,13.899999618530272,14.050000190734863,14.050000190734863,437127.0,13.899999936421713,13.90999984741211,380222.6,14.53310294151306,13.999999904632569,0.1400003433227539,0.0500002861022945,-0.4831027507781975,0.1500002543131504,0.5331030368804921,0.6231030941009514,0.0900000572204593,0.0999999682108558,0.633103005091348,0.0099999109903965,167042.0,18692.0,26.0,8.94,-0.0099999999999997,91743.0,54.92,-0.25,37.0,8.0,4.0,6.0,19.0,47.73,-0.0400000000000062,13.9,-0.0446735395189003
2023-08-25,14.199999809265137,14.199999809265137,13.949999809265137,14.0,14.0,370080.0,13.983333269755043,13.929999923706054,327879.8,14.482861757278442,13.94499988555908,0.0700000762939456,0.0550001144409186,-0.4828617572784424,0.016666730244955,0.5378618717193611,0.552861833572388,0.0149999618530269,-0.0383333841959636,0.4995284875233974,-0.0533333460489906,167042.0,18642.0,-50.0,8.96,0.0200000000000013,90694.0,54.29,-0.6300000000000026,35.0,7.0,3.0,6.0,19.0,47.76,0.0300000000000011,14.0,0.0071942446043165
2023-08-28,14.25,14.25,14.0,14.100000381469728,14.100000381469728,568400.0,14.050000190734863,13.960000038146973,398955.8,14.45237946510315,13.964999961853028,0.1400003433227539,0.1350004196166985,-0.3523790836334228,0.0500001907348632,0.4873795032501213,0.4923794269561767,0.0049999237060553,-0.0850002288818352,0.4023792743682861,-0.0900001525878906,167042.0,18642.0,-50.0,8.96,0.0200000000000013,90694.0,54.29,-0.6300000000000026,35.0,7.0,3.0,6.0,19.0,47.76,0.0300000000000011,14.0,0.0071942446043165
2023-08-29,14.199999809265137,14.199999809265137,14.0,14.100000381469728,14.100000381469728,295113.0,14.066666920979818,14.030000114440918,402144.0,14.38008041381836,13.964999961853028,0.0700002670288082,0.1350004196166985,-0.2800800323486321,0.0333334604899082,0.4150804519653306,0.3500802993774403,-0.0650001525878902,-0.1016669591267902,0.3134134928385403,-0.0366668065388999,167042.0,18642.0,-50.0,8.96,0.0200000000000013,90694.0,54.29,-0.6300000000000026,35.0,7.0,3.0,6.0,19.0,47.76,0.0300000000000011,14.0,0.0071942446043165
2023-08-30,14.050000190734863,14.300000190734863,14.050000190734863,14.199999809265137,14.199999809265137,462005.0,14.133333524068195,14.09000015258789,426545.0,14.330000019073486,13.994999980926512,0.1099996566772461,0.2049998283386234,-0.1300002098083492,0.0666662851969395,0.3350000381469726,0.2399998664855953,-0.0950001716613773,-0.1383335431416839,0.1966664950052887,-0.0433333714803065,167042.0,18642.0,-50.0,8.96,0.0200000000000013,90694.0,54.29,-0.6300000000000026,35.0,7.0,3.0,6.0,19.0,47.76,0.0300000000000011,14.0,0.0071942446043165
2023-08-31,14.100000381469728,14.5,14.100000381469728,14.149999618530272,14.149999618530272,401317.0,14.149999936421713,14.110000038146971,419383.0,14.272499990463256,14.00999994277954,0.0399995803833004,0.1399996757507331,-0.1225003719329826,-3.178914393942023e-07,0.2625000476837158,0.1624999523162831,-0.1000000953674327,-0.1399999936421725,0.1225000540415433,-0.0399998982747398,167042.0,18642.0,-50.0,8.96,0.0200000000000013,90694.0,54.29,-0.6300000000000026,35.0,7.0,3.0,6.0,19.0,47.76,0.0300000000000011,14.0,0.0071942446043165
