年月日,open,high,low,close,adj close,volume,MA3,MA5,MA5volume,MA20,MA10,volume_chage,adj close-MA5 distance,adj close-MA10 distance,adj close-MA20 distance,adj close-MA3 distance,MA20-MA10 distance,MA20-MA5 distance,MA10-MA5 distance,MA10-MA3 distance,MA20-MA3 distance,MA5-MA3 distance,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2023-08-18,129.5,130.5,126.5,127.0,127.0,288331.0,128.16666666666666,127.4,258355.0,133.6,129.25,0.1160263977859921,-0.4000000000000057,-2.25,-6.599999999999994,-1.1666666666666572,4.349999999999994,6.199999999999989,1.8499999999999943,1.0833333333333428,5.433333333333337,-0.7666666666666515,77580.0,6227.0,30.0,12.46,-0.0399999999999991,46616.0,60.09,-0.0799999999999983,18.0,2.0,3.0,1.0,12.0,55.14,-0.1000000000000014,127.0,0.0079365079365079
2023-08-21,128.0,129.0,126.5,128.0,128.0,244577.0,128.33333333333334,128.2,251970.8,133.3,128.0,-0.0293438763539266,-0.1999999999999886,0.0,-5.300000000000011,-0.3333333333333428,5.300000000000011,5.100000000000023,-0.1999999999999886,-0.3333333333333428,4.966666666666669,-0.1333333333333541,77580.0,6227.0,30.0,12.46,-0.0399999999999991,46616.0,60.09,-0.0799999999999983,18.0,2.0,3.0,1.0,12.0,55.14,-0.1000000000000014,127.0,0.0079365079365079
2023-08-22,128.5,129.5,125.5,125.5,125.5,183320.0,126.83333333333331,127.6,230556.4,132.6,127.1,-0.2048800206804061,-2.0999999999999943,-1.5999999999999943,-7.099999999999994,-1.3333333333333286,5.5,5.0,-0.5,0.2666666666666657,5.766666666666666,0.7666666666666657,77580.0,6227.0,30.0,12.46,-0.0399999999999991,46616.0,60.09,-0.0799999999999983,18.0,2.0,3.0,1.0,12.0,55.14,-0.1000000000000014,127.0,0.0079365079365079
2023-08-23,125.5,127.5,125.5,127.5,127.5,111150.0,127.0,127.6,209151.0,132.025,127.0,-0.468565773053918,-0.0999999999999943,0.5,-4.525000000000006,0.5,5.025000000000006,4.425000000000011,-0.5999999999999943,0.0,5.025000000000006,0.5999999999999943,77580.0,6227.0,30.0,12.46,-0.0399999999999991,46616.0,60.09,-0.0799999999999983,18.0,2.0,3.0,1.0,12.0,55.14,-0.1000000000000014,127.0,0.0079365079365079
2023-08-24,128.5,129.0,126.0,127.0,127.0,215033.0,126.66666666666669,127.0,208482.2,131.325,127.1,0.0314213875333241,0.0,-0.0999999999999943,-4.324999999999989,0.3333333333333286,4.224999999999994,4.324999999999989,0.0999999999999943,0.4333333333333229,4.658333333333317,0.3333333333333286,77580.0,6227.0,30.0,12.46,-0.0399999999999991,46616.0,60.09,-0.0799999999999983,18.0,2.0,3.0,1.0,12.0,55.14,-0.1000000000000014,127.0,0.0079365079365079
2023-08-25,127.0,128.0,126.5,127.5,127.5,153327.0,127.33333333333331,127.1,181481.4,130.7,127.25,-0.1551365594490674,0.4000000000000057,0.25,-3.1999999999999886,0.1666666666666714,3.4499999999999886,3.5999999999999943,0.1500000000000056,-0.0833333333333286,3.36666666666666,-0.2333333333333342,77808.0,6305.0,78.0,12.34,-0.120000000000001,46694.0,60.01,-0.0800000000000054,18.0,2.0,3.0,1.0,12.0,55.08,-0.0600000000000022,127.5,0.0039370078740157
2023-08-28,129.5,129.5,124.5,125.5,125.5,221010.0,126.66666666666669,126.6,176768.0,130.05,127.4,0.2502828566256336,-1.0999999999999943,-1.9000000000000057,-4.550000000000011,-1.1666666666666714,2.6500000000000057,3.450000000000017,0.8000000000000114,0.7333333333333343,3.38333333333334,-0.066666666666677,77808.0,6305.0,78.0,12.34,-0.120000000000001,46694.0,60.01,-0.0800000000000054,18.0,2.0,3.0,1.0,12.0,55.08,-0.0600000000000022,127.5,0.0039370078740157
2023-08-29,127.0,127.0,124.5,125.5,125.5,111178.0,126.16666666666669,126.6,162339.6,129.35,127.1,-0.3151516943493763,-1.0999999999999943,-1.5999999999999943,-3.8499999999999934,-0.6666666666666714,2.25,2.75,0.5,0.9333333333333228,3.183333333333323,0.4333333333333229,77808.0,6305.0,78.0,12.34,-0.120000000000001,46694.0,60.01,-0.0800000000000054,18.0,2.0,3.0,1.0,12.0,55.08,-0.0600000000000022,127.5,0.0039370078740157
2023-08-30,126.5,126.5,125.5,125.5,125.5,147039.0,125.5,126.2,169517.4,128.775,126.9,-0.1326023169302974,-0.7000000000000028,-1.4000000000000057,-3.2750000000000057,0.0,1.875,2.575000000000003,0.7000000000000028,1.4000000000000057,3.2750000000000057,0.7000000000000028,77808.0,6305.0,78.0,12.34,-0.120000000000001,46694.0,60.01,-0.0800000000000054,18.0,2.0,3.0,1.0,12.0,55.08,-0.0600000000000022,127.5,0.0039370078740157
2023-08-31,126.0,127.0,125.5,126.5,126.5,74354.0,125.83333333333331,126.1,141381.6,128.225,126.55,-0.4740899805915338,0.4000000000000057,-0.0499999999999971,-1.7249999999999943,0.6666666666666714,1.6749999999999972,2.125,0.4500000000000028,0.7166666666666686,2.3916666666666657,0.2666666666666657,77808.0,6305.0,78.0,12.34,-0.120000000000001,46694.0,60.01,-0.0800000000000054,18.0,2.0,3.0,1.0,12.0,55.08,-0.0600000000000022,127.5,0.0039370078740157
