年月日,open_y,high_y,low_y,close_y,open_y_2day,5,6,7,8,9,10,11
2023-08-18,-0.2968813,5.1203265,-0.8355883,-0.09059563,0.19844341,-1.7065183,-3.2907097,-4.499601,4.837486,8.624279,-1.0021509,5.7442327
2023-08-21,-0.5752006,6.1820064,-8.14536,-2.795782,-0.46564382,1.9946678,-2.8429043,-2.507322,4.479189,7.70548,-0.19415171,6.031745
2023-08-22,-2.332445,6.9863763,-7.8637495,-1.0142033,-1.3909665,2.1949883,-4.433735,-7.303029,1.3711191,3.2402637,-0.6409641,3.551602
2023-08-23,-1.458871,4.3015914,-8.717461,-2.496653,-1.3629049,0.5019856,-7.5742097,-5.615234,-1.7424376,0.11232344,-5.709487,0.92663056
2023-08-24,-0.3030704,0.72937465,-5.50764,-3.7043183,1.0015354,-2.0816023,-8.424746,-5.4496856,3.9944463,6.1357274,-2.0623546,4.1613092
2023-08-25,1.4064605,3.0046134,2.5743268,0.86005306,3.7693653,3.5717988,0.7609848,2.0478292,2.7276788,5.353003,3.5067995,-1.6296089
2023-08-28,2.4338539,4.027507,2.329355,2.7001655,3.6298769,9.173831,2.0811405,11.442161,2.6540232,5.346489,3.2084904,-1.965078
2023-08-29,3.5206957,6.0215087,2.145585,2.2808895,2.470375,9.260606,2.1636767,10.690622,1.656865,4.013388,0.83741343,-2.689592
2023-08-30,2.7540338,4.532026,1.3129203,2.0154371,1.4845703,9.132711,0.68287694,1.5790521,1.9419734,2.947157,0.4519789,-1.658209
2023-08-31,0.7669533,1.9033794,0.7958834,-1.8935032,-1.1928134,0.41532427,-1.2460378,-4.1736407,1.2211002,1.9818705,1.7788188,-3.4954326
2023-09-01,-0.5207659,1.8100259,-2.7296748,-1.8384278,-1.4039441,0.4420131,-2.6341665,-1.2992282,0.6916618,3.1354656,-2.4661944,-0.8239824
2023-09-04,-0.030683866,3.9621992,-2.567592,-2.0348074,-1.3208053,0.60205764,-2.0074892,-3.8404205,1.00776,2.8605568,-1.7194768,-0.5128384
2023-09-05,-0.0100590205,4.599037,-1.9687284,-0.90858626,0.09473499,0.044161353,-1.4413387,-4.2095723,0.122032344,0.40710077,-2.0114982,-1.7630528
2023-09-06,0.041722964,4.4344974,-2.0504591,-0.09528875,-0.83961177,-0.15948646,-1.8865898,-0.7081125,-0.022437297,2.2437527,-1.7259802,-2.414405
2023-09-07,0.09387597,4.503697,-1.9416485,1.0339003,-0.2817598,2.6883018,-0.9002883,1.5618958,1.3929466,3.9553018,-1.4469866,0.5051755
2023-09-08,1.0020479,2.41929,-0.27509153,0.8500002,1.1031547,1.9397324,-2.5774083,1.8638197,-1.5043266,0.37105244,0.7393001,-2.473718
2023-09-11,0.864089,1.6061422,-0.8141854,0.98206955,1.65537,1.3751093,-0.8715732,0.4271624,2.5531626,3.4394054,1.7175112,-0.27905464
2023-09-12,0.2773306,2.9245777,0.5178248,2.0623271,2.214978,4.275384,0.0736061,2.133673,2.554031,3.7894964,1.9399118,0.13314633
2023-09-13,-0.18835434,2.2251658,0.16396217,1.3772532,1.771974,4.232898,-2.2806354,0.06913243,-2.1470914,2.1605864,1.5597316,0.44182545
2023-09-14,-1.675406,1.869194,-0.9368436,0.2685393,0.19708388,-0.20398456,0.28936285,-1.2245456,-1.7917007,-0.5416237,0.16603883,-3.5121632
2023-09-15,0.15205817,1.2015498,-1.1204345,-0.64549065,-0.6040324,0.36718717,-3.0275059,-1.2532887,-3.6119533,0.5071665,-4.6873984,-3.9541547
2023-09-18,0.5495397,1.5707853,-0.82932436,0.76779604,1.0073711,2.7043803,-0.08390412,0.966183,-1.6276731,2.7279866,4.541193,7.362343
2023-09-19,1.0266612,1.8430308,-1.5541941,-1.3555162,0.15935534,2.664298,1.7029395,0.8331888,-1.293002,2.5707877,5.0277333,7.0887
2023-09-20,0.98428005,2.2627492,-1.2221158,0.40672436,0.06421411,2.7281618,1.8251106,-0.07721602,-1.1066924,2.5707877,5.0762334,7.1116605
2023-09-21,-0.21989647,1.4886311,-1.3504493,-0.052562855,0.36360684,0.69949496,-0.8076616,-1.9065199,-5.623966,-0.80034065,-0.5674207,5.6841426
2023-09-22,-0.051630728,1.284269,-1.9349109,-0.9058769,-2.7507162,0.0354515,-2.6416073,-0.57209957,-1.3859094,-0.46344718,-2.67465,0.28070992
2023-09-25,-0.15192638,0.90396595,-2.514504,-1.595698,-2.3669233,0.16427404,-2.5461729,-2.4549415,-1.4461104,-1.2161793,-0.6906693,0.23002763
2023-09-26,-0.6432842,0.991266,-2.457572,-1.6885624,-1.9007692,0.75549793,-1.6187148,-0.7994253,-0.8561352,0.65221995,1.113943,1.181585
2023-09-27,-0.6956463,0.78990126,-3.1981316,-2.4057653,-3.1747227,-1.0468522,-2.766139,-1.5431695,-1.1625489,-0.418474,-0.15727657,0.6401238
2023-09-28,-0.5224173,1.4727572,-2.0916526,-2.3214989,-1.5622985,0.2885695,-2.4323242,-0.3094537,1.156911,2.7007973,0.19771609,2.5038712
2023-10-02,1.4362208,6.3395195,-0.51567054,1.0386086,0.59814495,2.0718925,0.38510528,-0.93635786,1.8421253,4.736344,0.75881994,4.486615
2023-10-03,2.470192,2.4200616,-1.6864856,-0.8667428,-0.8721578,0.24047239,-2.9267576,-1.3488075,2.3942142,4.6814275,0.689112,4.1703305
2023-10-04,1.5108906,3.7927318,-1.6856686,0.7991922,0.30326626,5.519184,-1.863505,1.0795336,3.3664784,4.9701815,1.8512301,4.3974786
2023-10-05,0.79264504,2.837597,-1.9885601,0.7662657,-0.47797573,4.1887054,-3.7110395,0.44476584,2.9176266,4.277487,1.4717306,4.303221
2023-10-06,1.7081386,3.1852498,-2.184284,1.7150285,1.641967,2.0780647,-1.2880136,2.4889655,0.9148075,2.3612175,0.7976028,0.39598325
2023-10-11,-0.5251711,2.0455322,-3.1775343,-3.849271,-2.9006658,-0.025894288,-5.9648266,-0.9609333,-0.53530264,-0.36868486,-2.0590034,1.1456149
2023-10-12,0.36344135,2.6539617,-1.7481686,-2.617756,-2.945049,0.96906364,-1.8495129,0.2606851,-1.2620827,0.14130516,-2.587091,1.3818743
2023-10-13,1.2579477,2.9298117,-1.4706751,-0.67298114,-1.7407206,5.253072,-0.28836393,2.2063265,1.2847987,1.6902388,-2.5632,2.206137
2023-10-16,-0.31157774,2.5156622,-2.3176708,-2.937026,-2.8109336,2.3318691,0.16406178,0.55101067,0.25382835,2.7701378,0.8166018,2.2539299
2023-10-17,0.41933128,3.0862298,-1.8309014,-2.5928,-2.0537314,2.264792,0.6236486,2.06993,1.6871287,3.0969632,0.8524019,2.8983622
2023-10-18,-0.044367265,2.4919324,-3.0273805,-0.1861897,1.6016648,1.7416677,-3.1810167,-1.44499,-0.5361289,0.92570573,-1.51243,1.077786
2023-10-19,0.1257313,2.9048605,-2.7123299,-0.03885168,-1.3277701,0.6923669,-2.0807874,-2.7397707,-2.85115,0.65263236,-3.1382184,0.70669824
2023-10-20,0.13369071,3.7598984,-2.1356165,-1.2458539,-0.34147307,1.119205,-1.8345932,-2.1324396,-0.5492906,3.80992,0.6908865,1.2865565
2023-10-23,-0.28583267,2.035061,-2.6849077,-2.8209062,-1.7180827,0.4676481,-3.2192898,-3.1091194,-2.356963,1.8920376,-0.13095342,-0.6476143
2023-10-24,-0.5180962,0.9490269,-3.5419464,-4.1333895,-5.0566177,-1.1237814,-3.4992354,-3.873752,-2.0592303,2.0863912,-1.049839,0.95691645
2023-10-25,-0.18119253,1.1573226,-1.8128761,-0.31048435,-0.62000453,1.2661093,-1.6533649,-0.48255205,0.9215443,1.5782481,-3.0355964,-2.1275766
2023-10-26,-0.33569732,1.7637366,-2.1137133,-0.2645141,0.5726646,2.988885,-0.42441642,0.8110672,2.8579333,4.1451273,1.1736803,0.36303806
2023-10-27,0.17110257,2.85453,-0.47682753,0.03378246,1.4589489,3.9163437,0.33848685,2.5484004,4.521623,6.8270826,1.5412767,3.037918
2023-10-30,0.7044775,4.5456653,0.66901404,2.6788476,3.4410083,4.5184774,1.4466728,4.035674,4.785171,7.339496,1.8555418,4.922035
2023-10-31,0.36221254,2.8694558,-0.47041646,1.6854196,2.2306225,4.2482505,0.17251438,3.7002962,5.2185946,7.341794,3.3409925,5.045218
2023-11-01,0.43330362,3.1868923,-1.3374738,0.20712827,0.0059964024,1.4379505,-0.17414661,1.537382,2.790659,4.1339283,1.6006953,2.4839213
2023-11-02,0.47031358,1.3876845,-1.835801,-0.9859225,-0.21584654,1.5208938,-0.7822917,2.248714,1.210595,2.3092349,-0.90387124,0.1312208
2023-11-03,0.031244498,1.2005457,-1.6141237,-0.15631561,0.83253837,3.8212204,-1.4954838,1.43098,0.636666,1.970401,-0.13608588,-0.40362376
2023-11-06,0.08899371,3.0033867,-1.9272021,-0.8040764,0.089939535,3.6091027,-1.91599,0.061909568,-0.77409804,1.7218654,-1.4969445,-1.140046
2023-11-07,-0.3956201,1.1256766,-2.369461,-1.1178358,-0.494648,2.6717992,-2.1465354,-0.07176483,-0.30747333,1.7227257,-0.4925716,-1.6396188
2023-11-08,-0.32747087,2.871898,-2.5870407,0.5898205,-2.2375543,-0.6533671,-1.719631,-0.27763903,4.018387,5.453653,1.940611,1.0642846
2023-11-09,-0.19701615,1.1839384,-2.0804567,-0.5736202,0.30798298,-0.6380392,-2.9282203,-0.82806504,3.4571428,4.4160347,1.2889327,0.027794514
2023-11-10,-0.106176,0.5347856,-2.0030766,-0.09150464,1.9856876,1.9825575,-2.3246307,-0.61486876,0.13350253,0.6472299,-0.7999929,0.62186235
2023-11-13,0.91200894,0.57484823,-2.2297616,-2.2951624,1.4757075,0.22459878,-2.940802,-0.4955408,0.20175476,0.045614645,-1.361979,0.8576886
2023-11-14,1.7554147,3.5732942,-1.4902406,-2.6960762,2.740992,3.13613,-0.56927323,0.021204395,-0.3876848,1.2552987,-0.6734354,1.0983384
2023-11-15,1.6779102,2.3540337,-0.8453536,-0.91409516,0.39612338,2.4139695,-0.85665894,-0.59720325,1.0114155,2.0909443,0.5969253,0.8752508
2023-11-16,1.8355873,2.586449,-2.007702,-1.3474618,0.6203125,2.3373933,-1.64575,-0.41738307,1.1269538,1.9191654,0.7436195,1.6655324
2023-11-17,1.085314,2.43964,-1.6740491,-0.024831995,0.5599844,2.209888,-0.6503301,1.5172203,2.5810928,3.204333,1.1701155,0.940963
2023-11-20,1.3663919,2.2902162,-1.4666693,2.7921143,0.55672413,5.355055,-1.2525375,2.0485015,2.5938985,2.2682824,0.8062981,1.2796589
2023-11-21,1.0527341,3.870844,-2.3570979,1.5434192,0.6569593,4.9262533,-0.0392351,2.176044,0.99560475,2.533736,-0.65208143,-0.1573239
2023-11-22,0.17357357,1.3386163,0.20348933,0.40629244,1.8913429,2.857315,-2.069311,-0.26986098,1.0451623,0.8568831,-3.4958267,0.09187183
2023-11-23,0.60133654,2.6944897,0.7853253,1.1509285,2.486894,3.818677,0.5664548,0.33468166,-0.3458743,1.1835856,-3.699565,0.27397388
2023-11-24,-0.6053416,5.010324,-0.2554256,-0.7407985,0.247538,2.3913515,0.15242043,0.66789263,-2.9169612,-1.3345338,-3.8314707,-1.3063836
2023-11-27,-0.2065424,2.5591414,0.4416526,0.14023016,0.86865205,1.6682181,-0.8408651,-0.4489866,-2.1095083,-1.505789,-1.8664216,-1.0901893
2023-11-28,1.671351,4.5540643,1.1859064,-0.12535022,1.0081584,2.888505,-0.8115675,0.8646237,-0.6336906,1.350801,-0.079907306,0.78689593
2023-11-29,0.60485065,2.2784412,-0.6869392,-0.24771789,1.0298812,2.0741951,-1.4663428,-0.48088557,-0.76860267,1.1060311,-2.3701882,-0.9405518
2023-11-30,0.80529773,2.2038941,-0.7589524,0.65879154,0.7768129,1.6899514,-1.2550031,-0.028741557,1.005196,1.4468331,-1.3634195,0.6195667
2023-12-01,0.7788791,2.3951793,-0.63416165,-0.6731857,0.37147313,1.0698218,0.37776667,0.85143095,0.35824025,2.8785381,-2.2343893,0.10557527
2023-12-04,1.3531262,2.313014,-0.42025766,0.74889576,0.6391923,1.5271348,0.36112297,1.474355,1.1376772,2.6676638,-0.121035606,0.5143158
2023-12-05,1.2925404,2.069713,0.38055456,-0.3399176,0.2510759,1.9023327,0.02626288,0.29313672,1.6598216,2.9097333,0.06422701,2.0732315
2023-12-06,0.57296455,2.698624,-0.9234744,0.093392245,-0.39891014,2.7111912,0.0716761,1.5258683,1.319509,2.0077348,-0.46812072,-0.27132908
2023-12-07,0.45776415,2.0385408,-1.3130859,-1.0812541,-1.6548247,1.5980322,0.5747565,0.36916465,1.7571146,1.4748923,0.62413913,-0.04840258
2023-12-08,0.073749885,2.497429,-1.2848554,-0.004473191,1.4426397,5.3186207,1.2505769,2.3419583,2.9221568,4.782353,2.57158,3.295074
2023-12-11,0.7035015,3.2370315,-0.3906644,2.1559417,2.0509033,7.7838583,1.6638525,2.621334,4.741495,5.3190727,3.4905522,4.3088408
2023-12-12,0.8462976,3.3170507,0.14768662,2.6473968,2.320557,3.8375375,2.4293582,2.2741456,4.900795,6.4405284,3.1679785,3.6307275
2023-12-13,0.8499447,3.5782113,-0.30428383,0.50770897,0.5989357,2.0425174,1.1483321,0.33930418,1.7225477,1.9417566,0.5482239,0.755852
2023-12-14,0.68307984,2.974399,-0.62425655,-0.078037515,0.5127478,1.4917035,0.39666206,-0.24498795,1.3040287,1.3736461,-0.4684733,-0.07377107
2023-12-15,0.40937147,2.641072,-0.7466798,0.828225,0.1867472,1.2443877,0.42469352,0.5928261,-0.2448162,1.743499,-1.1917704,-0.33851898
2023-12-18,0.56144434,2.3802483,-0.5881992,0.67860657,0.30007532,1.0944003,-0.15245785,0.33897874,-0.036932647,0.92951053,-1.6272403,-0.5474608
2023-12-19,0.56586164,1.8542464,-1.0292737,0.11449566,0.41437915,1.3195765,0.4336953,0.8375825,-0.58121765,1.7357887,-1.3224268,-0.6416667
2023-12-20,0.38111517,1.4170134,-1.3035537,-0.23152721,0.23746192,0.8422301,-1.507947,-0.47707692,0.060914274,0.0019777121,-1.4316148,0.5451284
2023-12-21,0.12132515,1.4536055,-1.7986376,0.82148653,1.1296486,0.78686965,-1.2993538,0.092265904,0.033079393,0.1229958,-0.62879133,-0.15813752
